Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Contender,Group A,2,Single game,Get That Corn Outta My Face!,Oozma Kappa,Get That Corn Outta My Face!,21,17,,,,,David Richt,Jon Richt,,Derek Lynch,Jacob Denhof,
Pool Play,Contender,Group B,2,Single game,The J is for Jam,New Gen + Old Gen,The J is for Jam,21,9,,,,,Jack Larson,Joshua Hevelow,,Lia Rodriguez,Nicko Tomala,
Pool Play,Contender,Group B,2,Single game,Unsolicited Spikes,Cloud Merchants,Unsolicited Spikes,21,9,,,,,Camden Ernst,Tucker Howard,,Cameron Curles,Bentley Huff,Reese Berry
Pool Play,Contender,Group C,2,Single game,Clueless,Good spikebrations,Clueless,21,3,,,,,Noah Hite,Jack Whittemore,,Addyson Cobb,Jenna Collins,
Pool Play,Contender,Group C,2,Single game,Gold Blooded,Hit List,Gold Blooded,21,7,,,,,Keegan Luisi-Robinson,Collin Ireland,,Lindsay Parkes,Kaleigh Wilson,
Pool Play,Contender,Group D,2,Single game,Bird Men,The Spuds,Bird Men,21,10,,,,,Blake Peacock,Ben Herring,,Jason Goldblatt,Sean Toland,
Pool Play,Contender,Group D,2,Single game,Apple Jacks,Jelly,Apple Jacks,21,11,,,,,Landon Shell,Zach Locker,,Jeremiah Delaney,Elizabeth Bennett,
Pool Play,Contender,Group A,3,Single game,👐👐👐,Get That Corn Outta My Face!,👐👐👐,21,6,,,,,Trent Minton,michael sweeney,,David Richt,Jon Richt,
Pool Play,Contender,Group A,3,Single game,Nick Chao,Oozma Kappa,Nick Chao,21,16,,,,,Nicholas Chao,Darrell Trejo,,Derek Lynch,Jacob Denhof,
Pool Play,Contender,Group B,3,Single game,The J is for Jam,Unsolicited Spikes,The J is for Jam,21,12,,,,,Jack Larson,Joshua Hevelow,,Camden Ernst,Tucker Howard,
Pool Play,Contender,Group B,3,Single game,New Gen + Old Gen,Cloud Merchants,New Gen + Old Gen,21,8,,,,,Lia Rodriguez,Nicko Tomala,,Cameron Curles,Bentley Huff,Reese Berry
Pool Play,Contender,Group C,3,Single game,Clueless,Gold Blooded,Clueless,21,9,,,,,Noah Hite,Jack Whittemore,,Keegan Luisi-Robinson,Collin Ireland,
Pool Play,Contender,Group C,3,Single game,Good spikebrations,Hit List,Hit List,8,21,,,,,Addyson Cobb,Jenna Collins,,Lindsay Parkes,Kaleigh Wilson,
Pool Play,Contender,Group D,3,Single game,Bird Men,Apple Jacks,Bird Men,21,15,,,,,Blake Peacock,Ben Herring,,Landon Shell,Zach Locker,
Pool Play,Contender,Group D,3,Single game,The Spuds,Jelly,The Spuds,21,10,,,,,Jason Goldblatt,Sean Toland,,Jeremiah Delaney,Elizabeth Bennett,
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,👐👐👐,Good spikebrations,👐👐👐,21,13,21,10,,,Trent Minton,michael sweeney,,Addyson Cobb,Jenna Collins,
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,Clueless,Cloud Merchants,Clueless,21,5,21,9,,,Noah Hite,Jack Whittemore,,Cameron Curles,Bentley Huff,Reese Berry
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,The J is for Jam,Jelly,The J is for Jam,21,9,21,8,,,Jack Larson,Joshua Hevelow,,Jeremiah Delaney,Elizabeth Bennett,
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,Bird Men,Oozma Kappa,Bird Men,21,14,21,5,,,Blake Peacock,Ben Herring,,Derek Lynch,Jacob Denhof,
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,Apple Jacks,The Spuds,Apple Jacks,21,14,22,20,,,Landon Shell,Zach Locker,,Jason Goldblatt,Sean Toland,
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,Gold Blooded,Hit List,Gold Blooded,21,13,21,14,,,Keegan Luisi-Robinson,Collin Ireland,,Lindsay Parkes,Kaleigh Wilson,
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,Unsolicited Spikes,Nick Chao,Unsolicited Spikes,21,13,21,14,,,Camden Ernst,Tucker Howard,,Nicholas Chao,Darrell Trejo,
Bracket Stage,Contender,Bracket A,Round of 16,Best of 3,Get That Corn Outta My Face!,New Gen + Old Gen,Get That Corn Outta My Face!,21,18,24,22,,,David Richt,Jon Richt,,Lia Rodriguez,Nicko Tomala,
Bracket Stage,Contender,Bracket A,Quarter-final,Best of 3,👐👐👐,Get That Corn Outta My Face!,👐👐👐,21,10,21,8,,,Trent Minton,michael sweeney,,David Richt,Jon Richt,
Bracket Stage,Contender,Bracket A,Quarter-final,Best of 3,Clueless,Unsolicited Spikes,Clueless,21,17,21,16,,,Noah Hite,Jack Whittemore,,Camden Ernst,Tucker Howard,
Bracket Stage,Contender,Bracket A,Quarter-final,Best of 3,The J is for Jam,Gold Blooded,The J is for Jam,21,15,21,10,,,Jack Larson,Joshua Hevelow,,Keegan Luisi-Robinson,Collin Ireland,
Bracket Stage,Contender,Bracket A,Quarter-final,Best of 3,Bird Men,Apple Jacks,Bird Men,21,14,21,14,,,Blake Peacock,Ben Herring,,Landon Shell,Zach Locker,
Bracket Stage,Contender,Bracket A,Semi-final,Best of 3,👐👐👐,Bird Men,👐👐👐,21,14,21,17,,,Trent Minton,michael sweeney,,Blake Peacock,Ben Herring,
Bracket Stage,Contender,Bracket A,Semi-final,Best of 3,Clueless,The J is for Jam,Clueless,21,16,21,13,,,Noah Hite,Jack Whittemore,,Jack Larson,Joshua Hevelow,
Bracket Stage,Contender,Bracket A,Final,Best of 3,👐👐👐,Clueless,👐👐👐,12,21,21,17,25,23,Trent Minton,michael sweeney,,Noah Hite,Jack Whittemore,
Bracket Stage,Contender,Bracket A,P3: Final,Best of 3,The J is for Jam,Bird Men,The J is for Jam,16,21,21,11,21,13,Jack Larson,Joshua Hevelow,,Blake Peacock,Ben Herring,
